nationality_name,overall
Switzerland,74
Argentina,77
Uruguay,79
England,83
France,77
Netherlands,90
France,74
England,80
Croatia,80
Uruguay,76
Spain,80
England,76
Türkiye,73
Belgium,75
Italy,80
Brazil,79
Türkiye,79
Argentina,74
Italy,74
France,78
Colombia,77
Germany,78
Brazil,79
Croatia,78
Egypt,84
France,77
Uruguay,80
France,74
Spain,77
Ukraine,77
Denmark,78
United States,77
Türkiye,78
Argentina,81
France,79
Colombia,76
Ghana,83
Brazil,78
England,76
Argentina,72
Germany,82
Portugal,74
Spain,81
Greece,82
Argentina,75
Argentina,73
England,80
Spain,77
Serbia,77
Belgium,78
Colombia,76
Portugal,85
Argentina,74
England,77
Greece,75
Italy,77
Brazil,77
Germany,82
Poland,75
England,81
Argentina,74
Portugal,79
France,76
Portugal,81
Belgium,82
England,83
Uruguay,79
Belgium,77
Italy,78
Netherlands,83
Sweden,88
Spain,80
Argentina,77
Italy,81
Brazil,68
Spain,75
Slovakia,74
Greece,76
Portugal,78
France,85
Morocco,78
Poland,78
Paraguay,75
Colombia,77
Slovakia,76
Argentina,73
Switzerland,76
Switzerland,77
Portugal,78
Algeria,80
Spain,82
Portugal,75
France,81
France,77
Italy,80
Spain,81
England,81
Senegal,79
Argentina,78
Croatia,75
Japan,76
Brazil,82
Nigeria,87
Serbia,78
Ghana,80
Germany,79
Czechia,75
Portugal,75
Germany,78
Italy,82
Colombia,76
England,79
Morocco,80
Belgium,76
Denmark,82
Spain,76
Spain,77
Spain,81
Germany,77
Brazil,77
Liberia,78
Brazil,81
Algeria,77
Netherlands,79
Senegal,77
Mali,74
Norway,77
Germany,82
Portugal,75
Mali,78
Brazil,87
Portugal,78
England,77
Argentina,82
Spain,79
Germany,78
United States,79
Spain,85
Spain,83
Korea Republic,79
Belgium,77
France,80
France,80
England,78
Brazil,81
Algeria,81
Austria,80
Portugal,79
Brazil,77
England,74
Netherlands,77
Comoros,77
Spain,82
Netherlands,77
France,76
Spain,80
Belgium,80
France,75
Ecuador,79
Italy,78
Spain,77
Brazil,81
Spain,78
Brazil,72
Italy,81
Brazil,81
Cameroon,73
Croatia,79
Albania,74
England,78
Côte d'Ivoire,77
England,77
Argentina,77
Argentina,76
Japan,79
Portugal,74
Argentina,79
Switzerland,81
Japan,82
Switzerland,74
Netherlands,72
Netherlands,81
Spain,83
Nigeria,80
Germany,76
France,77
Algeria,84
Spain,85
France,78
Germany,83
Croatia,81
France,87
United States,74
Netherlands,78
United States,74
France,78
Czechia,74
Kosovo,76
Algeria,77
Argentina,79
France,77
Nigeria,80
Italy,77
Côte d'Ivoire,74
Italy,82
Brazil,78
Spain,76
Japan,77
Türkiye,76
England,79
Argentina,76
Portugal,76
Spain,86
Czechia,75
Sweden,78
Belgium,74
Brazil,76
England,80
Brazil,89
Georgia,74
Colombia,78
Romania,79
England,77
Italy,78
Germany,82
Romania,74
Spain,74
Haiti,75
Argentina,77
Montenegro,78
Argentina,73
France,79
Algeria,77
Austria,76
Brazil,80
Netherlands,78
Spain,78
Germany,83
Republic of Ireland,72
Korea Republic,75
Senegal,74
Denmark,79
Switzerland,79
Spain,75
United States,82
Germany,80
Czechia,78
Germany,76
Germany,79
Argentina,74
Serbia,78
Germany,80
Congo DR,75
Portugal,73
Croatia,79
Argentina,76
Portugal,82
Tunisia,74
Germany,74
Spain,77
Netherlands,74
Mali,77
Portugal,78
Colombia,78
Algeria,78
England,74
France,77
Russia,74
Germany,75
Argentina,78
Italy,77
Australia,73
Korea Republic,77
Netherlands,80
Senegal,78
Poland,75
Slovakia,75
Japan,76
Brazil,80
Spain,79
England,76
Germany,79
Argentina,74
Brazil,78
Morocco,79
Germany,73
England,77
Argentina,79
Italy,77
Greece,80
Portugal,75
Croatia,75
Portugal,75
Uruguay,77
England,74
Argentina,79
Czechia,73
Argentina,80
Gabon,79
Spain,75
Angola,77
Central African Republic,78
Spain,83
Germany,75
Denmark,73
Austria,77
Brazil,78
France,78
Uruguay,75
Argentina,74
Argentina,75
Portugal,83
Italy,81
Greece,77
Switzerland,78
Brazil,79
Canada,78
England,74
England,76
Bosnia and Herzegovina,78
Canada,77
Netherlands,72
Algeria,79
Italy,75
Nigeria,76
Netherlands,80
Italy,73
France,75
Germany,82
Brazil,74
Austria,73
Spain,71
Paraguay,73
Belgium,84
Norway,79
Portugal,84
Germany,74
England,73
Qatar,77
Poland,79
England,77
Brazil,85
Brazil,77
Denmark,72
Austria,74
Scotland,77
Portugal,78
France,76
Netherlands,77
Scotland,73
Belgium,72
Mauritania,75
Netherlands,79
Nigeria,84
Brazil,84
Colombia,73
Paraguay,79
Portugal,75
Italy,72
Spain,77
Germany,86
Netherlands,76
Ghana,76
Argentina,81
Czechia,74
Norway,75
Italy,78
England,78
Mali,79
Spain,77
Argentina,75
Hungary,73
Argentina,72
Italy,76
Sweden,77
France,76
Spain,78
Argentina,75
Uruguay,73
Bosnia and Herzegovina,76
Argentina,71
Spain,77
Morocco,78
Italy,87
Netherlands,72
Côte d'Ivoire,80
Switzerland,75
Senegal,75
Italy,75
Argentina,76
Norway,71
Australia,75
Croatia,78
Portugal,74
Nigeria,76
Mexico,78
Italy,76
Denmark,80
Portugal,73
France,79
Greece,72
Italy,80
Spain,74
Italy,77
England,79
Spain,78
Paraguay,70
Chile,76
Serbia,76
Belgium,83
North Macedonia,74
Argentina,76
Brazil,77
Argentina,73
England,82
Italy,75
France,76
Greece,80
Argentina,75
Germany,77
Ukraine,75
Germany,81
Belgium,79
Denmark,75
Belgium,75
France,76
United States,79
Argentina,72
Algeria,74
Brazil,75
Türkiye,77
France,75
Scotland,73
Netherlands,83
Italy,78
Côte d'Ivoire,74
Spain,75
Brazil,77
Mozambique,78
Sweden,77
Switzerland,74
Türkiye,76
Armenia,79
Denmark,71
Denmark,77
Spain,77
Spain,78
France,74
Belgium,77
Brazil,81
Netherlands,77
Spain,81
Spain,76
Norway,72
Netherlands,75
Argentina,75
England,80
Argentina,72
Chinese Taipei,72
Norway,76
Argentina,77
Brazil,73
Spain,80
Portugal,82
Netherlands,77
Spain,72
Israel,75
Denmark,73
England,75
Brazil,79
Argentina,78
Germany,78
Morocco,80
Argentina,71
Germany,75
Mexico,75
Algeria,76
Brazil,77
Germany,82
Georgia,75
Côte d'Ivoire,74
United States,75
Venezuela,74
Uruguay,79
Republic of Ireland,68
Nigeria,71
Brazil,74
Spain,77
Ghana,80
Uruguay,75
Japan,82
Türkiye,81
Netherlands,76
Iceland,78
France,84
United States,71
Mexico,75
England,77
Scotland,78
Japan,79
Brazil,80
Brazil,75
Ghana,73
Iceland,71
Brazil,74
Portugal,73
Chile,76
Japan,77
Türkiye,73
Argentina,76
Portugal,77
Denmark,75
England,82
Italy,74
Spain,75
Brazil,73
France,73
Switzerland,74
Spain,76
Morocco,72
England,76
Czechia,72
Austria,76
Luxembourg,77
Georgia,77
Sweden,72
France,84
New Zealand,74
England,80
Algeria,72
Côte d'Ivoire,80
Germany,75
Czechia,76
England,74
Germany,74
Norway,75
England,75
Czechia,85
Japan,75
Norway,73
Brazil,81
Hungary,78
Brazil,75
Italy,72
Sweden,73
Spain,76
France,75
Sweden,75
Guinea,78
North Macedonia,68
Scotland,74
Brazil,73
Austria,75
Uruguay,78
Belgium,79
Ukraine,77
Serbia,82
France,83
Sweden,73
Belgium,77
England,80
France,79
North Macedonia,77
Colombia,71
Italy,74
Germany,75
Croatia,69
Mexico,77
Denmark,70
Spain,76
Morocco,76
Czechia,76
Netherlands,74
Republic of Ireland,76
Belgium,83
Spain,75
Norway,74
England,76
Italy,74
France,81
Cameroon,71
Sweden,77
Portugal,80
Nigeria,76
Paraguay,76
Germany,76
Argentina,74
Mexico,80
Brazil,78
Portugal,76
Netherlands,82
Japan,82
France,73
Czechia,78
Brazil,77
Slovenia,77
England,78
Switzerland,75
Argentina,74
Germany,76
Australia,70
Netherlands,73
Cameroon,72
Portugal,77
England,70
Nigeria,73
Slovakia,73
Netherlands,79
Argentina,73
Spain,77
Argentina,76
Italy,72
Mozambique,79
Côte d'Ivoire,72
Brazil,81
Argentina,73
Spain,75
Nigeria,73
Belgium,71
Switzerland,77
Germany,80
Argentina,72
Italy,74
Spain,82
Brazil,80
Chile,73
Colombia,82
Portugal,70
Paraguay,74
Panama,76
Belgium,76
Indonesia,74
Belgium,74
Spain,80
Saudi Arabia,72
Brazil,83
Spain,79
Serbia,72
England,78
Netherlands,77
Portugal,76
Senegal,77
France,80
Korea Republic,73
Spain,78
Germany,72
Peru,70
Austria,72
Italy,79
Sweden,81
Norway,84
Brazil,74
Slovenia,72
Bosnia and Herzegovina,74
Spain,72
Argentina,71
Mexico,76
Ukraine,76
England,76
Argentina,73
Spain,75
Netherlands,79
Finland,75
Spain,76
Wales,76
Portugal,80
United States,74
France,80
Spain,72
Denmark,74
United States,75
France,77
Switzerland,75
England,80
Morocco,78
Spain,77
Brazil,70
England,82
Germany,78
Morocco,77
Korea Republic,72
Spain,75
Ukraine,77
Zimbabwe,76
Portugal,75
England,73
Italy,78
Netherlands,79
Tunisia,76
Chile,73
Portugal,74
Netherlands,78
Sweden,76
Switzerland,74
United States,75
France,76
Argentina,78
Spain,73
England,74
Germany,71
Spain,72
Bosnia and Herzegovina,80
Brazil,74
Czechia,73
Croatia,75
Spain,78
Spain,77
Côte d'Ivoire,79
Türkiye,75
Paraguay,74
Nigeria,74
Türkiye,79
Poland,76
Senegal,80
Netherlands,75
Uruguay,75
Honduras,70
France,82
Canada,82
Senegal,79
Slovenia,80
Romania,72
Ukraine,83
Curacao,69
Uruguay,71
Côte d'Ivoire,77
Denmark,74
Germany,73
Spain,79
England,73
Denmark,71
Spain,79
Slovenia,74
Ukraine,75
France,72
Spain,74
Argentina,73
Spain,73
England,76
Slovakia,72
Italy,70
Belgium,78
France,79
Germany,79
Northern Ireland,78
France,81
France,81
France,75
Mexico,79
Spain,70
Greece,73
Brazil,77
Argentina,77
Germany,75
Jamaica,79
Greece,74
Germany,72
Mali,72
Brazil,71
Türkiye,77
France,72
Ghana,73
Ukraine,79
Portugal,74
Gabon,81
England,77
Switzerland,71
Türkiye,71
England,73
Cameroon,75
Argentina,74
Japan,78
Denmark,77
Côte d'Ivoire,77
England,73
Paraguay,73
Algeria,73
Congo DR,82
Greece,75
France,78
Spain,76
Spain,71
England,72
Ghana,72
Croatia,72
Spain,80
Norway,72
Iceland,71
Romania,76
Spain,77
Italy,71
Portugal,73
Australia,72
France,72
Uruguay,77
Argentina,74
France,69
England,73
Portugal,81
Netherlands,78
Portugal,76
Argentina,74
Chile,73
Netherlands,78
United States,72
Brazil,75
Italy,70
Bosnia and Herzegovina,79
Ghana,76
Korea Republic,77
Uruguay,71
Slovenia,73
Belgium,78
Spain,78
Finland,73
Belgium,82
Spain,79
Korea Republic,71
Iceland,73
Congo DR,71
Madagascar,71
France,78
Germany,73
Korea Republic,71
Brazil,74
Romania,72
Mexico,78
Honduras,72
Brazil,80
Côte d'Ivoire,77
England,74
Netherlands,74
Brazil,78
Senegal,74
Spain,83
France,74
Italy,74
England,74
Italy,74
Nigeria,77
Netherlands,75
Austria,73
Brazil,75
Dominican Republic,75
Uruguay,74
Sweden,74
Denmark,77
Denmark,78
Colombia,78
Romania,72
England,71
Colombia,76
Republic of Ireland,74
Portugal,78
France,79
Spain,74
Scotland,77
Brazil,79
Denmark,73
Republic of Ireland,73
Argentina,75
Scotland,70
Spain,73
Spain,89
Argentina,72
Spain,78
Spain,71
Mexico,78
Brazil,78
Netherlands,77
Czechia,74
Italy,74
Serbia,73
Czechia,71
Morocco,77
Spain,79
England,80
Canada,74
Romania,71
Uruguay,76
Uruguay,72
Bosnia and Herzegovina,73
Germany,72
Ecuador,71
Denmark,74
Japan,78
Iceland,69
England,71
Türkiye,80
England,73
Argentina,73
France,74
Portugal,78
Portugal,77
Croatia,71
Ukraine,78
Iceland,79
Italy,73
Italy,75
Brazil,76
Chile,75
Republic of Ireland,74
Poland,69
Poland,71
Sweden,72
Argentina,74
Spain,79
Netherlands,74
Norway,79
England,72
Nigeria,73
Senegal,80
Argentina,77
Ecuador,71
Portugal,73
Spain,80
Spain,81
Argentina,67
Japan,74
Brazil,74
Colombia,74
Spain,73
Philippines,72
Israel,71
Portugal,74
Wales,75
England,75
Chile,74
Argentina,76
Germany,71
Peru,73
Brazil,73
Albania,73
Denmark,72
England,74
Argentina,76
Spain,78
Sweden,72
Republic of Ireland,74
France,77
Brazil,76
Ecuador,75
Portugal,72
Argentina,78
England,73
Guinea-Bissau,73
Congo DR,80
Uruguay,73
Spain,72
Türkiye,68
Spain,78
Czechia,74
Netherlands,72
Greece,73
Argentina,81
Germany,75
Austria,70
Belgium,73
Brazil,74
Argentina,69
Netherlands,76
Italy,74
Ecuador,71
Switzerland,72
Uruguay,73
Paraguay,73
Türkiye,71
Brazil,75
Denmark,74
Wales,76
Czechia,74
Norway,73
Algeria,73
Israel,73
Portugal,77
Norway,71
Qatar,76
France,83
Türkiye,78
Croatia,74
Spain,78
Germany,75
Germany,74
Germany,74
Argentina,76
Argentina,77
Portugal,77
Brazil,77
Türkiye,76
Congo DR,68
Netherlands,78
Morocco,79
Germany,72
Brazil,72
Türkiye,75
Brazil,72
Poland,73
China PR,70
Argentina,75
Norway,75
England,74
Czechia,72
Portugal,69
Burkina Faso,81
Argentina,76
Morocco,71
Türkiye,71
Türkiye,80
Brazil,78
France,75
Argentina,73
Germany,79
France,68
Congo DR,74
Denmark,74
Argentina,72
Argentina,73
England,74
Scotland,70
France,72
Morocco,72
Argentina,71
Finland,74
France,75
Brazil,72
Slovakia,75
France,77
Wales,72
Switzerland,74
Italy,74
Saudi Arabia,72
Republic of Ireland,71
Spain,71
Italy,68
Uruguay,72
Argentina,71
England,73
Netherlands,80
Germany,76
Uruguay,77
Peru,71
Türkiye,70
China PR,71
Denmark,68
Scotland,70
Belgium,73
France,74
Croatia,72
Brazil,79
Argentina,73
France,78
Austria,77
Japan,79
Germany,75
France,76
Türkiye,71
Morocco,75
Czechia,73
Spain,76
Belgium,76
England,76
Mexico,78
Spain,79
Argentina,71
Austria,78
France,70
Spain,74
Germany,75
Republic of Ireland,74
Argentina,75
Spain,70
Argentina,73
Austria,77
Korea Republic,70
Austria,74
Argentina,69
Colombia,77
Bosnia and Herzegovina,75
Sweden,72
Denmark,76
Brazil,73
United States,71
Mali,74
England,70
Argentina,76
Scotland,71
Brazil,72
Croatia,71
Brazil,75
Belgium,77
Croatia,76
Spain,71
Morocco,82
Belgium,77
England,69
Argentina,70
Germany,73
Switzerland,75
Belgium,70
Cameroon,74
Türkiye,72
Brazil,72
Italy,83
Colombia,77
Northern Ireland,72
Suriname,73
Croatia,76
Serbia,73
Slovakia,78
Italy,74
Germany,77
Spain,71
Scotland,72
Denmark,71
Guinea,73
Slovenia,75
Argentina,75
Congo DR,74
Germany,79
Argentina,75
Türkiye,72
England,68
Côte d'Ivoire,77
England,69
Switzerland,72
Brazil,73
France,72
Italy,69
Serbia,75
Georgia,74
France,80
Türkiye,75
Türkiye,73
Colombia,72
Czechia,77
France,83
Spain,71
Portugal,75
England,78
Morocco,73
Republic of Ireland,73
Jamaica,72
Côte d'Ivoire,72
Brazil,74
Japan,71
Kosovo,74
Spain,77
Portugal,73
Portugal,73
Germany,76
Argentina,77
Venezuela,70
Wales,78
Japan,75
Japan,70
China PR,66
Spain,77
United States,73
Spain,76
Spain,70
Argentina,73
Argentina,71
Brazil,78
Spain,72
Portugal,75
France,70
Argentina,70
Belgium,73
Chile,71
Portugal,78
Spain,75
England,75
Denmark,72
Portugal,71
England,68
Netherlands,73
Netherlands,72
Albania,76
Brazil,74
Norway,69
Argentina,72
France,72
Brazil,78
Japan,72
England,73
Argentina,78
Serbia,67
Czechia,70
Germany,71
Guinea,72
Croatia,68
Argentina,72
Germany,75
Uruguay,76
Scotland,72
Argentina,78
Denmark,76
Hungary,74
Japan,76
Denmark,72
France,72
Netherlands,73
Guinea-Bissau,70
Netherlands,73
England,75
Croatia,72
Netherlands,77
South Africa,72
Germany,81
Slovakia,78
Poland,79
Dominican Republic,75
Nigeria,75
France,76
Italy,71
Türkiye,77
Norway,73
Spain,72
Netherlands,71
Congo,72
Spain,80
France,70
France,71
Spain,73
Nigeria,72
Sweden,70
Germany,74
Portugal,74
Northern Ireland,73
Slovakia,72
Türkiye,70
Czechia,70
Burundi,77
Suriname,75
Algeria,71
Argentina,74
Italy,71
Denmark,78
Portugal,75
Scotland,74
Syria,75
England,77
Morocco,76
Argentina,73
Colombia,75
Latvia,72
Ecuador,70
Brazil,75
Germany,77
Spain,71
Netherlands,69
Japan,74
Brazil,75
France,76
Argentina,76
Switzerland,82
Denmark,73
Argentina,77
Brazil,76
Serbia,77
Denmark,70
Croatia,71
England,71
Brazil,73
Italy,72
Senegal,79
France,70
Sweden,74
Sweden,75
Argentina,74
Saudi Arabia,75
Portugal,81
Netherlands,73
Ecuador,83
Sweden,75
New Zealand,72
Germany,70
Portugal,76
Belgium,77
England,75
Spain,73
Poland,69
Burkina Faso,75
Madagascar,72
Spain,78
Argentina,72
Nigeria,81
Spain,80
Norway,73
Argentina,71
Germany,71
Iran,74
Netherlands,74
Italy,74
Argentina,71
Scotland,70
Belgium,72
Norway,72
Portugal,73
England,74
Brazil,69
France,79
Spain,80
Scotland,70
Brazil,72
Denmark,75
Congo DR,71
Argentina,79
Portugal,78
Greece,76
Norway,70
Scotland,73
Sweden,72
Venezuela,72
Türkiye,73
Uruguay,74
Brazil,80
Brazil,75
Germany,71
Colombia,78
England,78
Northern Ireland,71
Germany,77
Argentina,70
Belgium,75
Côte d'Ivoire,81
Greece,75
Spain,73
Côte d'Ivoire,76
Italy,83
Ukraine,71
Mali,74
Spain,72
Equatorial Guinea,75
Russia,74
Belgium,77
Mali,73
Netherlands,69
Nigeria,67
England,80
England,79
Argentina,73
Morocco,78
Mali,71
Belgium,71
Gambia,73
Paraguay,73
Spain,73
Colombia,69
Italy,72
Argentina,70
Spain,67
Portugal,66
Scotland,70
Spain,73
Netherlands,69
Republic of Ireland,70
France,74
Norway,72
Italy,78
England,73
Belgium,74
Syria,71
Colombia,76
Algeria,77
Ghana,71
Germany,77
Netherlands,82
Italy,69
Brazil,74
England,75
Côte d'Ivoire,70
Norway,69
Germany,78
Italy,71
Portugal,73
Senegal,73
Brazil,74
Morocco,76
Congo DR,70
Netherlands,77
Brazil,77
France,72
Ghana,71
Scotland,73
France,72
Netherlands,72
Brazil,75
France,79
Denmark,71
Senegal,79
United States,69
New Zealand,82
England,73
Denmark,74
England,74
Chile,73
Chile,71
Norway,73
Spain,67
Brazil,76
Finland,70
Hungary,72
Scotland,70
Germany,74
Spain,75
Germany,72
Portugal,75
Bosnia and Herzegovina,81
Indonesia,71
Mali,73
Belgium,73
Brazil,76
Spain,84
Colombia,73
Brazil,76
Brazil,72
Portugal,76
France,70
Spain,80
Burkina Faso,77
Türkiye,73
Italy,73
Portugal,75
Argentina,82
Denmark,70
Colombia,72
Ecuador,72
Spain,70
Czechia,73
Germany,72
England,77
England,71
Hungary,70
Nigeria,77
Italy,68
Kosovo,68
France,75
Italy,75
Scotland,71
Portugal,70
Spain,71
Brazil,73
France,76
Republic of Ireland,69
Argentina,73
Germany,71
Norway,76
Paraguay,78
Czechia,73
Portugal,72
Portugal,70
France,77
Spain,74
Iran,78
Portugal,76
Spain,74
Ghana,72
Croatia,73
Brazil,75
England,80
Australia,70
Colombia,71
Spain,72
Argentina,72
Switzerland,71
Türkiye,74
Sweden,71
United States,72
Spain,73
Argentina,74
Spain,70
Libya,78
England,71
United States,75
Italy,72
Portugal,72
Suriname,68
Senegal,67
Netherlands,75
Belgium,72
Spain,73
Netherlands,82
Spain,74
Spain,74
Brazil,77
United States,74
Norway,69
Belgium,71
Switzerland,73
Denmark,75
Brazil,74
Italy,71
Netherlands,74
Switzerland,75
England,74
Germany,82
Spain,82
Spain,74
Cyprus,72
England,70
Belgium,76
Netherlands,80
Switzerland,67
Bulgaria,71
Argentina,71
Spain,75
Spain,72
Australia,69
France,73
Congo DR,81
Hungary,70
Kosovo,75
Germany,78
Austria,67
Congo DR,77
Spain,74
England,72
Germany,75
Chile,74
France,76
United States,67
Norway,70
Brazil,70
Côte d'Ivoire,79
Spain,70
Colombia,75
Austria,76
Qatar,70
Norway,71
Ghana,72
Wales,79
Korea Republic,75
Czechia,74
New Zealand,71
England,78
Italy,74
Spain,75
Senegal,75
Netherlands,75
Germany,76
Spain,75
Albania,72
Austria,74
England,71
Albania,74
Peru,71
Venezuela,77
Netherlands,69
Sweden,74
France,68
Portugal,77
Albania,75
Argentina,79
Brazil,74
Portugal,74
Uruguay,75
Portugal,75
England,73
Senegal,70
Austria,74
Ukraine,73
Ghana,70
Hungary,70
Argentina,71
Bosnia and Herzegovina,71
Wales,72
Morocco,75
Greece,73
Slovenia,71
Italy,74
Albania,73
Bolivia,69
Belgium,69
Japan,69
Japan,72
Japan,77
Türkiye,72
Argentina,69
Mali,68
Morocco,71
Germany,76
Netherlands,73
Republic of Ireland,68
Argentina,70
Switzerland,76
Israel,69
Spain,73
Germany,71
Hungary,69
Netherlands,73
England,70
Argentina,72
England,73
Chile,74
Italy,74
Spain,71
Netherlands,76
Romania,72
Argentina,71
Colombia,75
Brazil,67
Argentina,73
England,77
Portugal,79
Argentina,70
Jamaica,70
Germany,71
Belgium,75
Spain,75
Mexico,73
Argentina,70
Argentina,75
Belgium,69
Scotland,67
Colombia,82
Germany,78
Paraguay,71
Spain,73
Spain,70
Belgium,71
Argentina,71
Spain,71
Republic of Ireland,74
Mali,76
Italy,78
Denmark,71
Austria,75
Hungary,74
England,78
England,74
Ukraine,71
Mexico,73
Uruguay,72
Brazil,74
Georgia,74
Netherlands,73
Wales,68
Belgium,72
Ukraine,69
Guinea-Bissau,73
England,72
Denmark,70
Netherlands,72
France,69
Mexico,72
Denmark,72
United States,75
Denmark,72
Belgium,80
Belgium,70
France,74
Brazil,71
Brazil,71
England,70
Austria,71
Argentina,75
Norway,67
Germany,75
Sweden,74
Scotland,73
Argentina,73
Brazil,74
Brazil,75
France,74
France,75
Denmark,73
Brazil,72
Sweden,75
Azerbaijan,69
Northern Ireland,72
Sweden,71
England,69
Chile,69
Spain,73
Brazil,74
Germany,70
Brazil,78
Switzerland,70
Spain,77
Portugal,70
Scotland,71
Uruguay,69
Norway,69
Italy,71
Germany,72
Peru,72
Mexico,76
Congo DR,74
Greece,72
Netherlands,78
Senegal,67
Switzerland,70
Ghana,71
Israel,71
Türkiye,69
France,87
Argentina,79
Colombia,75
Poland,70
Spain,76
Italy,73
Brazil,77
Argentina,71
Argentina,75
Malta,66
Türkiye,74
Chile,71
England,68
Mexico,78
Argentina,69
United States,68
Türkiye,67
Morocco,79
Norway,74
Argentina,74
Peru,72
Germany,82
Spain,73
Nigeria,74
Russia,73
France,74
Germany,70
Spain,71
Mali,77
Germany,76
Austria,72
Sweden,73
Slovenia,68
Spain,79
England,72
Spain,75
Spain,74
England,79
Mexico,73
Brazil,78
Netherlands,72
France,70
Spain,73
Korea Republic,70
Algeria,70
France,77
Slovenia,71
Spain,73
England,73
Denmark,68
Germany,67
Iceland,69
Ghana,77
Australia,67
United States,76
Cyprus,72
France,71
Japan,71
Sweden,79
United States,70
Argentina,77
England,69
Spain,72
Uruguay,74
Bulgaria,77
Bosnia and Herzegovina,72
Nigeria,78
France,76
Uruguay,83
Paraguay,75
Germany,73
Ghana,76
Germany,72
Spain,71
Italy,82
Spain,73
Republic of Ireland,69
Uruguay,78
Romania,69
Spain,72
France,74
Ghana,74
Paraguay,73
Argentina,73
United Arab Emirates,73
Cameroon,71
Israel,74
Denmark,73
Belgium,73
Italy,75
Poland,70
Argentina,72
Sweden,66
Romania,68
Germany,74
Argentina,74
Netherlands,74
Spain,75
England,75
France,69
Germany,75
Portugal,73
Netherlands,77
Spain,71
France,76
Senegal,74
Poland,74
Congo,73
Canada,69
Nigeria,78
Brazil,77
Belgium,69
Uruguay,71
Italy,70
Paraguay,70
France,70
England,69
Scotland,74
France,78
Argentina,74
Côte d'Ivoire,77
Nigeria,78
Iraq,68
United States,71
Argentina,76
Nigeria,70
Norway,69
Austria,71
France,70
Spain,74
Norway,70
Chile,69
Austria,79
Argentina,72
Spain,74
Switzerland,69
Greece,70
Sweden,76
France,78
Norway,74
Italy,78
Ukraine,73
Argentina,68
France,69
Germany,77
Senegal,72
Colombia,73
Brazil,71
Ecuador,72
Belgium,70
Morocco,81
France,79
Argentina,68
Croatia,70
Denmark,72
Morocco,73
France,75
Germany,73
France,85
Norway,71
Belgium,74
Spain,76
Austria,69
Norway,72
Spain,74
Ukraine,74
Switzerland,70
Republic of Ireland,72
Brazil,79
